step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest,isFraud,isFlaggedFraud
403,CASH_OUT,341769.9,C456436014,0.0,0.0,C1302629282,363318.29,705088.18,0,0
492,CASH_IN,331262.38,C1907043687,628814.15,960076.54,C1480679444,407806.73,76544.35,0,0
43,PAYMENT,13613.69,C1125479906,1405.0,0.0,M957457740,0.0,0.0,0,0
22,PAYMENT,1092.55,C1086384250,19709.53,18616.98,M1791030303,0.0,0.0,0,0
323,CASH_OUT,339431.05,C1841615488,10929.0,0.0,C1208048016,0.0,339431.05,0,0
398,PAYMENT,27603.75,C30528882,50793.22,23189.47,M17538748,0.0,0.0,0,0
372,CASH_OUT,457752.01,C1318958652,256.0,0.0,C1539871838,0.0,457752.01,0,0
369,PAYMENT,9834.3,C340292246,246319.0,236484.7,M1976311860,0.0,0.0,0,0
328,CASH_IN,14380.22,C739996760,3665101.11,3679481.33,C304528400,4528540.53,4514160.32,0,0
15,CASH_IN,134276.39,C778026226,9275578.4,9409854.79,C1086610690,201718.67,208663.1,0,0
375,TRANSFER,3869739.37,C204367846,0.0,0.0,C341322809,9259958.79,13129698.16,0,0
402,CASH_OUT,109930.51,C1849281839,113667.0,3736.49,C1553317986,12875711.37,12985641.88,0,0
33,PAYMENT,5171.26,C1292789133,0.0,0.0,M1655474913,0.0,0.0,0,0
252,PAYMENT,45876.02,C753377872,169843.59,123967.57,M942157782,0.0,0.0,0,0
235,CASH_IN,163325.1,C643589298,10236.0,173561.1,C279354989,887302.47,723977.37,0,0
356,PAYMENT,1422.55,C232169634,259673.67,258251.11,M1601832253,0.0,0.0,0,0
135,PAYMENT,33935.73,C303184943,21218.0,0.0,M869861975,0.0,0.0,0,0
206,CASH_IN,164641.3,C107641784,13335.0,177976.3,C2141087192,519580.46,354939.16,0,0
404,CASH_IN,269075.07,C1797831046,3675198.91,3944273.97,C518053223,2331362.76,2062287.7,0,0
166,PAYMENT,16578.72,C775381983,107523.0,90944.28,M1547819825,0.0,0.0,0,0
329,CASH_OUT,110153.26,C265151731,15054.0,0.0,C1639099305,0.0,110153.26,0,0
301,PAYMENT,774.23,C150862539,682.0,0.0,M510816257,0.0,0.0,0,0
139,PAYMENT,19395.17,C1183156901,27462.03,8066.86,M143749204,0.0,0.0,0,0
226,PAYMENT,7374.5,C1228833628,5120.0,0.0,M762701198,0.0,0.0,0,0
254,CASH_IN,89850.22,C177209788,458493.47,548343.69,C623008408,10705399.84,10615549.62,0,0
44,PAYMENT,13003.72,C2000300617,54525.98,41522.26,M425555025,0.0,0.0,0,0
33,CASH_OUT,128879.54,C110591967,0.0,0.0,C395882796,560907.42,689786.96,0,0
302,PAYMENT,3040.32,C44721448,20275.0,17234.68,M639849136,0.0,0.0,0,0
467,TRANSFER,269722.42,C280460099,269722.42,0.0,C1478799121,0.0,0.0,1,0
252,CASH_OUT,228524.13,C1717257792,412798.0,184273.87,C945129592,0.0,228524.13,0,0
550,PAYMENT,9705.14,C1761857004,775.0,0.0,M348833354,0.0,0.0,0,0
39,CASH_IN,285569.35,C1779338219,10734.0,296303.35,C1667200844,583.4,0.0,0,0
36,CASH_IN,179085.06,C1882902496,3149.0,182234.06,C613563505,701529.1,522444.04,0,0
160,PAYMENT,20514.26,C146590311,0.0,0.0,M1196997208,0.0,0.0,0,0
235,CASH_IN,40483.47,C400275530,193.0,40676.47,C1021501245,0.0,0.0,0,0
181,PAYMENT,14893.67,C1647259655,705.0,0.0,M1960255797,0.0,0.0,0,0
43,PAYMENT,11081.01,C352230682,343419.39,332338.37,M404404996,0.0,0.0,0,0
204,PAYMENT,7462.7,C1871405801,16947.0,9484.3,M1802243067,0.0,0.0,0,0
377,CASH_OUT,252093.34,C755903059,123318.0,0.0,C1469887157,0.0,252093.34,0,0
206,PAYMENT,2131.52,C274304495,11085.0,8953.48,M247232709,0.0,0.0,0,0
542,PAYMENT,30168.34,C787774336,0.0,0.0,M1228524800,0.0,0.0,0,0
13,CASH_OUT,17337.28,C562729603,108317.89,90980.61,C1001611622,3663139.44,3680476.72,0,0
136,PAYMENT,12469.98,C1609663774,341796.01,329326.02,M1203217860,0.0,0.0,0,0
500,CASH_OUT,257570.13,C1193134688,80867.0,0.0,C101285844,290537.18,548107.31,0,0
237,CASH_OUT,285782.26,C675766710,0.0,0.0,C1769160390,515742.36,801524.63,0,0
546,CASH_OUT,5372.04,C19736938,10000.0,4627.96,C1184825794,4341216.93,4346588.97,0,0
42,CASH_OUT,87130.45,C852236350,0.0,0.0,C1860577650,2519039.46,2606169.91,0,0
323,TRANSFER,3166062.27,C982328899,0.0,0.0,C506241882,4023072.37,7189134.64,0,0
20,PAYMENT,7034.68,C193206310,0.0,0.0,M561521176,0.0,0.0,0,0
42,CASH_OUT,54224.42,C177531470,0.0,0.0,C1089852132,509281.22,563505.64,0,0
358,PAYMENT,9813.73,C812591054,34171.52,24357.79,M1259541536,0.0,0.0,0,0
184,CASH_OUT,113217.4,C1905989524,451389.0,338171.6,C243532758,0.0,633395.07,0,0
381,CASH_IN,235218.67,C810155406,3496789.12,3732007.79,C1904712467,421396.01,344321.24,0,0
394,CASH_OUT,49950.63,C1528504862,49950.63,0.0,C1778014932,460576.82,510527.45,1,0
141,CASH_OUT,224331.92,C672343442,0.0,0.0,C1026789752,295887.29,520219.2,0,0
683,CASH_IN,247932.06,C1205036170,20513.0,268445.06,C359618979,44161.12,0.0,0,0
208,PAYMENT,1921.07,C951387303,24416.0,22494.93,M1123031767,0.0,0.0,0,0
230,PAYMENT,26246.88,C1680092550,10778.0,0.0,M1227787371,0.0,0.0,0,0
155,CASH_OUT,317639.53,C1847773778,39538.0,0.0,C1435263536,0.0,317639.53,0,0
227,CASH_IN,162040.23,C952422965,3031271.07,3193311.3,C166163606,2102409.34,1940369.11,0,0
253,PAYMENT,5589.49,C276577733,0.0,0.0,M271066377,0.0,0.0,0,0
7,CASH_IN,79647.21,C891612704,3593807.1,3673454.3,C631424220,192097.11,112449.9,0,0
18,CASH_OUT,75533.69,C68502125,67004.0,0.0,C707062249,7534.22,83067.91,0,0
371,CASH_IN,366288.08,C1717338144,1234793.43,1601081.51,C1758161676,535250.95,168962.87,0,0
285,PAYMENT,2155.3,C448370780,1161.0,0.0,M1230771854,0.0,0.0,0,0
326,CASH_IN,146050.17,C85550192,22317.0,168367.17,C1118560339,2678864.25,2532814.08,0,0
354,CASH_OUT,120241.52,C508212864,30856.0,0.0,C1186157294,7741392.75,7861634.26,0,0
371,CASH_IN,307935.75,C1537556382,87.0,308022.75,C1184156785,26018.34,0.0,0,0
522,CASH_OUT,298294.13,C1842034897,0.0,0.0,C756868695,374940.6,673234.73,0,0
254,CASH_IN,204199.87,C808243325,524.0,204723.87,C1926833516,0.0,0.0,0,0
139,CASH_IN,106629.53,C1772508235,10293.0,116922.53,C555465845,2512616.61,2405987.08,0,0
130,CASH_OUT,71879.97,C1127118837,0.0,0.0,C265384861,172694.75,307944.75,0,0
210,PAYMENT,4992.57,C955235495,3645.0,0.0,M342383016,0.0,0.0,0,0
201,TRANSFER,147515.82,C1514430182,857.0,0.0,C3452802,0.0,147515.82,0,0
11,PAYMENT,14495.01,C1268551197,0.0,0.0,M2083444139,0.0,0.0,0,0
378,PAYMENT,8428.33,C1377020114,106628.0,98199.67,M1111323310,0.0,0.0,0,0
257,CASH_IN,28903.82,C681119977,598263.79,627167.61,C1835413891,1103764.41,1074860.59,0,0
314,PAYMENT,7761.24,C813146090,0.0,0.0,M109664179,0.0,0.0,0,0
406,PAYMENT,15875.96,C1434054269,248295.0,232419.04,M1188085386,0.0,0.0,0,0
43,CASH_OUT,176167.65,C1202894829,0.0,0.0,C1845697782,390244.8,566412.45,0,0
205,CASH_OUT,99908.28,C425188169,0.0,0.0,C2073539450,455084.81,554993.09,0,0
258,CASH_OUT,102012.62,C1686443265,194558.0,92545.38,C492547612,96513.7,198526.32,0,0
36,CASH_OUT,76145.84,C1243369916,0.0,0.0,C767869597,5736278.13,5812423.97,0,0
130,PAYMENT,32819.07,C576933446,127100.0,94280.93,M967959073,0.0,0.0,0,0
345,PAYMENT,19601.41,C617159760,59715.0,40113.59,M1483345942,0.0,0.0,0,0
404,CASH_IN,151384.78,C162467775,50115.0,201499.78,C1450429501,44154.11,0.0,0,0
376,PAYMENT,29872.11,C1019147346,41380.0,11507.89,M282850103,0.0,0.0,0,0
235,PAYMENT,6424.65,C1074979969,0.0,0.0,M1523200764,0.0,0.0,0,0
279,PAYMENT,8476.03,C258012965,0.0,0.0,M411082917,0.0,0.0,0,0
185,CASH_IN,35876.48,C522732873,8184219.77,8220096.25,C1777995577,2054774.62,2018898.14,0,0
165,PAYMENT,7052.25,C1712801227,23986.0,16933.75,M808920829,0.0,0.0,0,0
183,CASH_IN,194193.29,C1046097221,4411412.9,4605606.19,C1896190989,1997720.06,1803526.78,0,0
404,PAYMENT,22689.53,C427536660,107561.0,84871.47,M2004525333,0.0,0.0,0,0
402,CASH_OUT,6733.95,C1980263226,24970.25,18236.31,C1869321595,42138.68,48872.62,0,0
396,CASH_OUT,169880.98,C1390162818,0.0,0.0,C824081598,359815.1,529696.08,0,0
301,CASH_IN,71553.0,C1246518634,201575.0,273128.0,C656287508,0.0,0.0,0,0
345,CASH_OUT,157160.38,C1607717046,0.0,0.0,C1032986144,504662.38,661822.76,0,0
351,PAYMENT,14564.28,C1157050509,215471.68,200907.4,M639341954,0.0,0.0,0,0
208,CASH_OUT,110811.79,C88139740,0.0,0.0,C1294082216,121357.97,232169.76,0,0
187,CASH_OUT,32047.38,C1891002710,22986.0,0.0,C1900425025,0.0,32047.38,0,0
255,PAYMENT,24755.71,C497210029,264703.0,239947.29,M1019941382,0.0,0.0,0,0
184,TRANSFER,512016.3,C1186146504,15381.0,0.0,C673237836,0.0,512016.3,0,0
8,PAYMENT,9353.29,C1022224047,69681.98,60328.69,M820218280,0.0,0.0,0,0
137,CASH_OUT,73936.08,C476412202,56768.0,0.0,C883729558,2995600.74,3069536.82,0,0
354,CASH_OUT,199749.3,C491692865,0.0,0.0,C1792611236,1676677.26,1876426.56,0,0
46,PAYMENT,4917.82,C1695099639,0.0,0.0,M865390205,0.0,0.0,0,0
231,CASH_IN,76115.52,C441124887,1095399.46,1171514.98,C1475534248,541329.12,465213.6,0,0
331,CASH_OUT,61803.18,C803055314,2221.0,0.0,C652776631,0.0,61803.18,0,0
236,CASH_OUT,68763.45,C261354779,30009.0,0.0,C1976017506,0.0,68763.45,0,0
182,CASH_IN,142689.98,C1408268947,1473198.59,1615888.57,C592209404,984219.87,841529.89,0,0
273,PAYMENT,10386.55,C1504284886,0.0,0.0,M934364415,0.0,0.0,0,0
262,PAYMENT,7291.86,C695508880,12997.58,5705.73,M2090888300,0.0,0.0,0,0
40,CASH_OUT,131905.58,C1949938631,467597.14,335691.56,C1875251085,2065132.74,2197038.32,0,0
309,CASH_IN,148342.45,C194359769,24121565.95,24269908.4,C10751144,3932124.08,3783781.63,0,0
47,TRANSFER,16985.18,C1150082656,272331.0,255345.82,C429500743,0.0,16985.18,0,0
495,PAYMENT,459.81,C1603986311,102220.0,101760.19,M1354377518,0.0,0.0,0,0
16,CASH_OUT,167970.19,C32430321,0.0,0.0,C174746976,678605.92,761767.18,0,0
12,PAYMENT,17576.69,C897392328,97022.3,79445.62,M1489230086,0.0,0.0,0,0
250,CASH_IN,199201.5,C177707661,20189.0,219390.5,C1092369032,0.0,0.0,0,0
334,PAYMENT,14093.85,C1026826346,0.0,0.0,M1441566853,0.0,0.0,0,0
379,CASH_IN,249639.06,C1968772317,611652.35,861291.41,C177814128,1388866.97,1139227.91,0,0
282,CASH_OUT,27158.62,C651150766,210541.0,183382.38,C591862575,1396948.72,1424107.33,0,0
15,CASH_OUT,59961.81,C321828631,24530.29,0.0,C1395260507,2434118.9,2494080.71,0,0
379,CASH_OUT,125496.83,C1727724441,17968.0,0.0,C730662641,0.0,125496.83,0,0
183,CASH_IN,103271.23,C1514283913,2015874.32,2119145.54,C575430707,2589693.82,2486422.6,0,0
181,CASH_IN,222904.59,C1599982924,95338.0,318242.59,C1585027966,85958.02,0.0,0,0
161,CASH_IN,306017.88,C1001521650,1230999.39,1537017.27,C1069448859,2259002.65,1952984.78,0,0
686,DEBIT,2618.33,C1294434577,10557.0,7938.67,C2107577774,79918.11,82536.44,0,0
191,CASH_IN,308050.95,C1708254631,4330221.02,4638271.97,C681338524,3218654.2,2910603.25,0,0
301,CASH_IN,116745.02,C1161567967,17994878.32,18111623.33,C1839056341,4148982.89,4032237.87,0,0
382,PAYMENT,7431.85,C1664167392,37.0,0.0,M24059963,0.0,0.0,0,0
18,PAYMENT,10360.04,C346786912,15991.0,5630.96,M160175323,0.0,0.0,0,0
299,CASH_OUT,78374.43,C362613400,205245.0,126870.57,C1702815456,2752833.93,2831208.36,0,0
188,PAYMENT,16944.29,C1332241749,0.0,0.0,M519442966,0.0,0.0,0,0
93,PAYMENT,8102.41,C610856298,17814.0,9711.59,M468106346,0.0,0.0,0,0
211,CASH_OUT,122828.07,C474110689,29788.0,0.0,C708481590,0.0,330694.48,0,0
51,TRANSFER,1398946.33,C1560394123,1398946.33,0.0,C1393670189,0.0,0.0,1,0
256,TRANSFER,322196.81,C402388434,0.0,0.0,C985466670,1630212.95,1952409.76,0,0
163,CASH_OUT,176462.91,C315554010,12867.0,0.0,C1379319395,3981853.77,4158316.68,0,0
11,PAYMENT,7280.01,C2020925894,10421.0,3140.99,M1473243890,0.0,0.0,0,0
41,TRANSFER,17877.77,C1408133691,0.0,0.0,C1637645191,20410.36,38288.13,0,0
34,CASH_OUT,143478.02,C75997108,0.0,0.0,C1487166642,286795.09,430273.11,0,0
189,CASH_IN,141088.53,C475091307,949.0,142037.53,C1635506076,0.0,0.0,0,0
18,CASH_OUT,10065.03,C681513961,0.0,0.0,C1367228611,247286.78,257351.81,0,0
325,CASH_OUT,10833.8,C1112230293,0.0,0.0,C629162506,5180242.55,5191076.36,0,0
211,TRANSFER,663304.11,C120315569,67494.0,0.0,C63754638,3816672.6,4479976.71,0,0
349,PAYMENT,69286.23,C82892834,95281.0,25994.77,M197225521,0.0,0.0,0,0
20,PAYMENT,1774.94,C936373595,0.0,0.0,M1440660292,0.0,0.0,0,0
161,CASH_OUT,178904.01,C1686351662,0.0,0.0,C440501067,1733673.04,1912577.05,0,0
159,CASH_OUT,113066.97,C1241596346,0.0,0.0,C1920148149,283814.8,396881.77,0,0
328,CASH_IN,396827.57,C1247098813,22170.0,418997.57,C1316896205,648120.76,251293.2,0,0
565,PAYMENT,6311.19,C1135032237,62860.0,56548.81,M1961771496,0.0,0.0,0,0
346,CASH_OUT,83065.64,C565355414,60773.0,0.0,C474166728,5092874.76,5175940.4,0,0
372,CASH_IN,2422.18,C1590173793,1094348.54,1096770.72,C929153680,342147.89,339725.71,0,0
186,PAYMENT,17563.34,C1428184046,78.0,0.0,M138888174,0.0,0.0,0,0
19,PAYMENT,6695.19,C1147461566,144739.15,138043.96,M2065452851,0.0,0.0,0,0
250,CASH_OUT,461721.24,C1908883897,10453.0,0.0,C1762210439,0.0,461721.24,0,0
325,PAYMENT,14716.0,C635509694,0.0,0.0,M270232815,0.0,0.0,0,0
204,CASH_OUT,111768.4,C1804867819,0.0,0.0,C755516301,5467316.27,6260259.42,0,0
39,CASH_OUT,48349.61,C1945415925,5181.0,0.0,C1248884334,73653.82,397916.01,0,0
207,PAYMENT,4437.4,C1416343628,188.0,0.0,M1665535642,0.0,0.0,0,0
398,CASH_OUT,167066.34,C1424703013,0.0,0.0,C1518930468,399715.65,566781.99,0,0
257,CASH_IN,36165.41,C1608528486,21014.0,57179.41,C1830810016,99392.58,63227.17,0,0
301,PAYMENT,32374.16,C1830999788,201808.0,169433.84,M634737695,0.0,0.0,0,0
376,CASH_OUT,352508.94,C623029083,20311.0,0.0,C1320967519,645443.26,997952.2,0,0
284,PAYMENT,18221.64,C1910745871,21686.0,3464.36,M1733760585,0.0,0.0,0,0
233,CASH_OUT,135053.15,C1571659729,0.0,0.0,C656628428,179572.2,314625.35,0,0
47,PAYMENT,9459.64,C96605329,16254.78,6795.14,M446888113,0.0,0.0,0,0
299,PAYMENT,88965.96,C685180498,13157.0,0.0,M2089525012,0.0,0.0,0,0
16,CASH_IN,248623.44,C722137949,20348.0,268971.44,C2044762345,11866.0,0.0,0,0
262,CASH_IN,133878.86,C468624337,30527.0,164405.86,C134829888,9320.41,0.0,0,0
250,PAYMENT,10204.53,C1864149459,26862.0,16657.47,M367887792,0.0,0.0,0,0
322,PAYMENT,10742.32,C549284820,369296.57,358554.26,M1417417912,0.0,0.0,0,0
207,CASH_IN,106713.66,C1236040353,2549127.89,2655841.56,C1662577613,1945257.84,1838544.18,0,0
373,CASH_IN,271546.7,C332618,4795.0,276341.7,C1725571079,327521.52,55974.82,0,0
394,PAYMENT,2446.88,C844594930,0.0,0.0,M2009298459,0.0,0.0,0,0
331,CASH_OUT,398787.17,C1151169942,0.0,0.0,C578383985,13387115.78,13785902.94,0,0
377,TRANSFER,1615254.93,C1172388713,0.0,0.0,C637109899,2670771.27,4286026.2,0,0
134,CASH_OUT,17836.68,C638801313,24826.0,6989.32,C590584170,0.0,17836.68,0,0
397,CASH_OUT,184825.72,C1580081049,430.0,0.0,C182027743,0.0,184825.72,0,0
403,CASH_OUT,70161.14,C1053945137,0.0,0.0,C328912673,363646.19,433807.33,0,0
204,CASH_IN,55018.82,C496164768,11143811.59,11198830.41,C1182381150,141893.23,86874.41,0,0
19,PAYMENT,35136.0,C1011190187,0.0,0.0,M1305723212,0.0,0.0,0,0
130,PAYMENT,35369.48,C879030125,281013.19,245643.71,M253617814,0.0,0.0,0,0
373,PAYMENT,18282.47,C1151774066,51536.0,33253.53,M1524186163,0.0,0.0,0,0
281,PAYMENT,13778.27,C1037266653,18482.0,4703.73,M1926479238,0.0,0.0,0,0
354,CASH_OUT,220965.01,C1311655771,0.0,0.0,C1097503694,760731.62,981696.63,0,0
43,CASH_IN,398183.44,C158695173,2001087.94,2399271.38,C1919681935,1337887.71,939704.27,0,0
158,PAYMENT,6768.21,C2083593927,55280.0,48511.79,M1219313959,0.0,0.0,0,0
234,CASH_IN,56876.06,C1744619290,14901155.41,14958031.46,C1880444391,1512318.78,1455442.73,0,0
257,PAYMENT,6154.79,C1914003813,22651.0,16496.21,M782211499,0.0,0.0,0,0
187,PAYMENT,335.61,C974718235,0.0,0.0,M49180291,0.0,0.0,0,0
540,TRANSFER,2254235.28,C1161839671,0.0,0.0,C300915892,8370505.6,10624740.88,0,0
36,CASH_IN,339824.62,C1526079062,11243302.89,11583127.51,C237696149,451686.83,111862.21,0,0
400,PAYMENT,21557.86,C1166482946,0.0,0.0,M787998869,0.0,0.0,0,0
307,CASH_IN,209080.79,C604929571,13392393.91,13601474.7,C718734900,377327.56,168246.78,0,0
280,CASH_OUT,100729.87,C1888355677,31705.0,0.0,C698336793,66835.93,229789.59,0,0
371,CASH_OUT,240305.34,C221742392,354.0,0.0,C424477884,135288.1,375593.43,0,0
395,CASH_OUT,157227.23,C1661089127,0.0,0.0,C1611945023,875738.65,1032965.88,0,0
376,TRANSFER,227716.02,C1579777303,0.0,0.0,C1368928130,590287.66,818003.68,0,0
234,CASH_OUT,365838.02,C1276423213,0.0,0.0,C1411264821,1462510.52,1828348.54,0,0
326,CASH_IN,202448.9,C795757644,100972.0,303420.9,C1921917405,722842.75,520393.85,0,0
401,PAYMENT,22150.13,C50618360,0.0,0.0,M577496640,0.0,0.0,0,0
226,CASH_OUT,266353.05,C1513197738,0.0,0.0,C549312778,275459.9,541812.95,0,0
403,CASH_IN,230900.19,C243811947,11824.0,242724.19,C831959674,4027470.23,3796570.04,0,0
330,TRANSFER,675578.75,C1508039025,58782.93,0.0,C908581035,3083185.0,3758763.74,0,0
185,CASH_IN,99171.16,C736112203,3185686.11,3284857.26,C1976231151,1900364.37,1801193.22,0,0
351,PAYMENT,9647.95,C592002480,496.0,0.0,M68999355,0.0,0.0,0,0
210,TRANSFER,531133.17,C38026463,123941.0,0.0,C198428859,0.0,531133.17,0,0
350,CASH_OUT,241577.94,C362119997,0.0,0.0,C742207044,403847.78,645425.72,0,0
34,CASH_IN,202597.31,C670223069,5910416.67,6113013.98,C460360775,2118681.85,1916084.54,0,0
306,PAYMENT,21503.66,C2124229678,0.0,0.0,M1415230057,0.0,0.0,0,0
303,CASH_OUT,60293.38,C1594341946,0.0,0.0,C45221534,1657451.5,1717744.88,0,0
235,CASH_IN,108817.08,C537245297,4911492.96,5020310.04,C1893735702,672586.54,563769.46,0,0
329,PAYMENT,18429.44,C1599632889,61546.26,43116.82,M2021215083,0.0,0.0,0,0
94,CASH_IN,30614.91,C166203634,10827.0,41441.91,C1062791125,1630255.9,1673720.07,0,0
235,CASH_OUT,257048.58,C13147285,18.0,0.0,C1745305682,257005.3,643407.25,0,0
381,PAYMENT,9701.77,C1665220207,221753.32,212051.55,M379868151,0.0,0.0,0,0
354,CASH_OUT,203459.22,C1738235369,0.0,0.0,C1520370231,601794.41,805253.64,0,0
327,PAYMENT,27066.17,C2022599776,627045.53,599979.36,M1426106787,0.0,0.0,0,0
399,PAYMENT,12616.17,C976521334,5572.0,0.0,M1643329324,0.0,0.0,0,0
379,PAYMENT,6980.78,C1424878442,15653.4,8672.62,M1999110747,0.0,0.0,0,0
141,PAYMENT,944.98,C1469963567,296.0,0.0,M325217994,0.0,0.0,0,0
311,PAYMENT,20731.48,C958437010,23862.0,3130.52,M1967310042,0.0,0.0,0,0
14,PAYMENT,2670.87,C878076233,0.0,0.0,M1207422986,0.0,0.0,0,0
250,CASH_OUT,277189.85,C1110259949,0.0,0.0,C1803348615,1965437.97,2242627.82,0,0
16,CASH_IN,233393.46,C1447476015,6859261.97,7092655.42,C661442540,446928.29,321933.38,0,0
307,CASH_OUT,160133.35,C41731019,0.0,0.0,C1547918833,3904911.05,4065044.4,0,0
305,CASH_OUT,352260.07,C58979499,21280.0,0.0,C63087376,346536.27,698796.34,0,0
538,TRANSFER,1315461.84,C1433079995,298328.0,0.0,C661729718,9355041.45,10670503.29,0,0
19,CASH_OUT,231683.03,C1677047054,0.0,0.0,C1685726862,5679887.27,5514330.83,0,0
251,CASH_OUT,61134.37,C1690070669,504854.28,443719.91,C1685546332,4464758.83,4525893.19,0,0
234,CASH_IN,171942.5,C1849735883,6177039.4,6348981.91,C24435682,400044.86,228102.36,0,0
281,PAYMENT,3395.63,C1255937487,93739.0,90343.37,M1007379082,0.0,0.0,0,0
164,TRANSFER,756858.49,C163853423,20296.0,0.0,C801314348,111474.36,868332.85,0,0
94,CASH_OUT,237269.05,C1598753014,0.0,0.0,C1035210677,276882.85,514151.9,0,0
15,CASH_IN,66458.68,C903414276,4823115.4,4889574.08,C44983660,580293.07,513834.39,0,0
226,CASH_IN,122432.7,C1136203244,2520304.22,2642736.92,C1776982269,3528094.99,3509816.8,0,0
138,CASH_OUT,13361.45,C1414390904,964.0,0.0,C1181287507,131604.8,144966.25,0,0
206,TRANSFER,381120.39,C690751944,51967.0,0.0,C2061430474,1621132.49,2002252.87,0,0
250,PAYMENT,8111.07,C586697421,0.0,0.0,M1161826857,0.0,0.0,0,0
